modified a workflow state,modificou uma etapa
Print Hide,Ocultar Impressão
Print Format {0} is disabled,Formato de Impressão {0} está desativado
Print Format Type,Tipo do Formato de Impressão
Print Format Help,Ajuda sobre Formatos de Impressão
Print Format Builder,Criar/Editar Formato de Impressão
Print Documents,Imprimir documentos
Primary Color,Cor primária
Previous Hash,Hash anterior
Previous,Anterior
Preview Message,Visualizar mensagem
Preview HTML,Pré-visualização de HTML
Press Enter to save,Pressione Enter para salvar
Preprocess Method,Método de pré-processamento
Preparing Report,Preparando Relatório
Prepared Report,Relatório preparado
Preferred Shipping Address,Endereço preferido para entrega
Preferred Billing Address,Endereço preferido de faturamento
Predictable substitutions like '@' instead of 'a' don't help very much.,"As substituições previsíveis, como '@' em vez de 'a' não ajudam muito."
Precision should be between 1 and 6,Precisão deve estar entre 1 e 6
Precision,Precisão
Posts filed under {0},Posts arquivados em {0}
Posts by {0},Posts de {0}
Posts,Postagens
Postprocess Method,Método de pós-processamento
Postal Code,CEP
Postal,Postal
Post Comment,Publicar comentário
Post,Post
Portal Menu Item,Portal item de menu
Portal Menu,Portal menu
Port,Porta
Points Given,Pontos dados
Points,Pontos
Point Allocation Periodicity,Periodicidade de alocação de pontos
Please verify your Email Address,"Por favor, verifique seu endereço de email"
Please try again,"Por favor, tente novamente"
Please specify which value field must be checked,Por favor especificar qual campo deve ser verificado
Please specify which date field must be checked,Por favor especificar qual campo de data deve ser verificado
Please setup a message first,"Por favor, configure uma mensagem primeiro"
"Please setup SMS before setting it as an authentication method, via SMS Settings","Configure o SMS antes de configurá-lo como um método de autenticação, por meio de Configurações de SMS"
Please set filters value in Report Filter table.,"Por favor, definir o valor de filtros na tabela Filtro de Relatório."
Please set filters,"Por favor, defina filtros"
Please set a printer mapping for this print format in the Printer Settings,"Por favor, defina um mapeamento de impressora para este formato de impressão nas configurações da impressora."
Please set Dropbox access keys in your site config,Defina teclas de acesso Dropbox em sua configuração local
Please set Base URL in Social Login Key for Frappe,Defina o URL básico na chave de login social para Frappe
Please select the Document Type.,Selecione o Tipo de documento.
Please select document type first.,"Por favor, selecione o tipo de documento primeiro."
Please select atleast 1 column from {0} to sort/group,"Por favor, selecione pelo menos coluna 1 a partir de {0} para classificar / grupo"
Please select another payment method. Razorpay does not support transactions in currency '{0}',Selecione outra forma de pagamento. não Razorpay não suporta transações em moeda &#39;{0}&#39;
Please select another payment method. PayPal does not support transactions in currency '{0}',Selecione outra forma de pagamento. O PayPal não suporta transações em moeda &#39;{0}&#39;
Please select a valid csv file with data,"Por favor, selecione um arquivo csv com dados válidos"
Please select a new name to rename,Selecione um novo nome para renomear
Please select a file or url,"Por favor, selecione um arquivo ou url"
Please select a Amount Field.,Por favor selecione um campo total.
Please select Minimum Password Score,Selecione Mínimo de Marcação de Senha
Please select Entity Type first,"Por favor, selecione Tipo de Entidade primeiro"
Please select DocType first,"Por favor, selecione DocType primeiro"
Please save the report first,"Por favor, salve o primeiro relatório"
Please save the document before removing assignment,"Por favor, salve o documento antes de remover a atribuição"
Please save the document before assignment,"Por favor, salve o documento antes da atribuição"
Please save the Newsletter before sending,"Por favor, salve a Newsletter antes de enviar"
Please save before attaching.,"Por favor, salve antes de anexar."
Please refresh to get the latest document.,Por favor de atualização para obter os últimos documentos.
Please make sure the Reference Communication Docs are not circularly linked.,Certifique-se de que os Documentos de Comunicação de Referência não estejam vinculados circularmente.
Please make sure that there are no empty columns in the file.,"Por favor, certifique-se de que não existem colunas vazias no arquivo."
Please enter values for App Access Key and App Secret Key,Por favor insira os valores para acesso App Key e App chave secreta
Please enter valid mobile nos,"Por favor, indique números de celular válidos"
Please enter the password,Por favor digite a senha
Please enter Redirect URL,Digite o URL de redirecionamento
Please enter Client Secret before social login is enabled,Digite Client Secret antes do login social estar habilitado
Please enter Client ID before social login is enabled,Digite o ID do cliente antes que o login social seja ativado
Please enter Base URL,Digite o URL da Base
Please enter Authorize URL,Digite Autorizar URL
Please enter Access Token URL,Digite o URL do token de acesso
Please ensure that your profile has an email address,Verifique se o seu perfil tem um endereço de email
Please enable developer mode to create new connection,Ative o modo de desenvolvedor para criar uma nova conexão
Please duplicate this to make changes,"Por favor, duplicar este para fazer mudanças"
Please do not change the template headings.,"Por favor, não alterar as posições do modelo."
Please do not change the rows above {0},"Por favor, não alterar as linhas acima {0}"
Please confirm your action to {0} this document.,"Por favor, confirme sua ação para {0} este documento."
Please close this window,"Por favor, feche esta janela"
Please check your registered email address for instructions on how to proceed. Do not close this window as you will have to return to it.,"Verifique seu endereço de e-mail registrado para obter instruções sobre como proceder. Não feche esta janela, pois você terá que retornar a ela."
Please check your email for verification,"Por favor, verifique seu e-mail para verificação"
Please attach an image file to set HTML,"Por favor, anexe um arquivo de imagem para definir HTML"
Please attach a file first.,"Por favor, anexar um arquivo primeiro"
Please ask your administrator to verify your sign-up,"Por favor, pergunte ao seu administrador para verificar a sua inscrição"
Please add a subject to your email,"Por favor, adicione um assunto ao seu email"
Please Update SMS Settings,Atualize Configurações SMS
Please Install the ldap3 library via pip to use ldap functionality.,"Por favor, instale a biblioteca ldap3 via pip para usar a funcionalidade ldap."
Please Enter Your Password to Continue,"Por favor, digite sua senha para continuar"
Please Duplicate this Website Theme to customize.,Por favor Duplicar este site Tema para personalizar.
Plant,Fábrica
Pick Columns,Escolher Colunas
Phone No.,Nº de Telefone.
Personal Data Download Request,Solicitação de download de dados pessoais
Personal Data Deletion Request,Solicitação de Exclusão de Dados Pessoais
Personal,Pessoal
Permissions get applied on Users based on what Roles they are assigned.,As permissões são aplicadas em usuários com base nas funções que lhe são atribuídas.
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","As permissões para o nível 0 são permissões em nível de documento, ou seja, eles são primários para o acesso ao documento."
Permissions at higher levels are Field Level permissions. All Fields have a Permission Level set against them and the rules defined at that permissions apply to the field. This is useful in case you want to hide or make certain field read-only for certain Roles.,As permissões de níveis superiores são permissões de Nível de Campo. Todos os Campos têm um conjunto de Nível de Permissão e as regras definidas nessas permissões aplicam-se ao campo. Isto é útil caso queira ocultar ou fazer com que determinado campo seja só de leitura para certas Funções.
"Permissions are set on Roles and Document Types (called DocTypes) by setting rights like Read, Write, Create, Delete, Submit, Cancel, Amend, Report, Import, Export, Print, Email and Set User Permissions.","As permissões são definidas em Funções e Tipos de Documentos (chamados Doctypes) , definindo direitos como Ler, Escrever, Criar, Deletar, Enviar, Cancelar, Corrigir, Reportar, Importar, Exportar, Imprimir, Email e Definir Permissões de Usuário."
Permissions are automatically applied to Standard Reports and searches.,As permissões são aplicadas automaticamente a relatórios e pesquisas padrão.
Permissions,Permissões
Permission Rules,Regras de Permissão
Permission Levels,Níveis de Permissão
Permission Level,Nível de Permissão
Permission Error,Erro de permissão
Permanently delete {0}?,Excluir Permanentemente {0} ?
Permanently Submit {0}?,Confirmar Permanentemente {0} ?
Permanently Cancel {0}?,Cancelar Permanentemente {0} ?
Permanent,Permanente
Perm Level,Nível Permanente
Percent Complete,Percentagem completa
Percent,Por cento
Pending Verification,verificação pendente
Pending Approval,Aprovação pendente
Payment Success,Sucesso de pagamento
Payment Cancelled,Pagamento cancelado
PayPal payment gateway settings,configurações de gateway de pagamento PayPal
PayPal Settings,Configurações PayPal
Path to private Key File,Caminho para o arquivo de chaves privado
Path to Server Certificate,Caminho para o certificado do servidor
Path to CA Certs File,Caminho para o arquivo CA Certs
Patch Log,Log de Patches
Patch,Remendo
Paste,Colar
Password reset instructions have been sent to your email,Instruções de redefinição de senha foram enviadas para seu email
